Timestamp,Online,Offline,Total,Percent Online
2023-11-08 19:07:26,207,2229,2436,8.5
2023-11-08 19:17:07,203,2233,2436,8.33
2023-11-08 19:27:07,194,2242,2436,7.96
2023-11-08 19:36:46,214,2222,2436,8.78
2023-11-08 19:46:24,235,2201,2436,9.65
2023-11-08 19:55:57,218,2218,2436,8.95
2023-11-08 20:06:15,178,2258,2436,7.31
2023-11-08 20:16:28,140,2296,2436,5.75
2023-11-08 20:26:04,219,2217,2436,8.99
2023-11-08 20:35:35,223,2213,2436,9.15
2023-11-08 20:45:04,233,2203,2436,9.56
2023-11-08 20:54:36,222,2214,2436,9.11
2023-11-08 21:04:21,199,2237,2436,8.17
2023-11-08 22:06:48,61,2375,2436,2.5
2023-11-08 22:15:39,230,2206,2436,9.44
2023-11-08 22:25:16,215,2221,2436,8.83
2023-11-08 22:34:51,210,2226,2436,8.62
2023-11-08 22:44:26,214,2222,2436,8.78
2023-11-08 22:53:54,239,2197,2436,9.81
2023-11-08 22:58:37,239,2197,2436,9.81
2023-11-08 23:13:45,239,2197,2436,9.81
2023-11-08 23:14:47,239,2197,2436,9.81
2023-11-08 23:16:45,239,2197,2436,9.81
2023-11-08 23:18:22,239,2197,2436,9.81
2023-11-08 23:21:58,239,2197,2436,9.81
2023-11-08 23:22:13,239,2197,2436,9.81
2023-11-08 23:22:58,239,2197,2436,9.81
2023-11-08 23:26:19,239,2197,2436,9.81
2023-11-08 23:27:39,239,2197,2436,9.81
2023-11-08 23:35:29,242,2194,2436,9.93
2023-11-08 23:38:28,242,2194,2436,9.93
2023-11-08 23:38:45,242,2194,2436,9.93
2023-11-08 23:39:24,242,2194,2436,9.93
2023-11-08 23:42:16,242,2194,2436,9.93
2023-11-08 23:43:06,242,2194,2436,9.93
2023-11-08 23:44:59,242,2194,2436,9.93
2023-11-08 23:45:49,242,2194,2436,9.93
2023-11-08 23:46:28,242,2194,2436,9.93
2023-11-08 23:54:50,242,2194,2436,9.93
2023-11-08 23:55:15,242,2194,2436,9.93
2023-11-08 23:55:58,242,2194,2436,9.93
2023-11-08 23:56:55,242,2194,2436,9.93
2023-11-09 00:01:01,242,2194,2436,9.93
2023-11-09 00:05:50,242,2194,2436,9.93
2023-11-09 00:06:20,242,2194,2436,9.93
2023-11-09 00:08:30,242,2194,2436,9.93
2023-11-09 00:11:56,242,2194,2436,9.93
2023-11-09 00:12:08,242,2194,2436,9.93
2023-11-09 00:20:06,228,2208,2436,9.36
2023-11-09 00:29:39,229,2207,2436,9.4
2023-11-09 00:39:08,246,2190,2436,10.1
2023-11-09 00:48:40,233,2203,2436,9.56
2023-11-09 00:58:12,235,2201,2436,9.65
2023-11-09 01:07:37,258,2178,2436,10.59
2023-11-09 01:17:05,255,2181,2436,10.47
2023-11-09 01:26:37,229,2207,2436,9.4
2023-11-09 01:36:08,227,2209,2436,9.32
2023-11-09 01:45:40,228,2208,2436,9.36
2023-11-09 01:55:07,252,2184,2436,10.34
2023-11-09 02:04:39,226,2210,2436,9.28
2023-11-09 02:14:12,232,2204,2436,9.52
2023-11-09 02:23:43,229,2207,2436,9.4
2023-11-09 02:33:11,253,2183,2436,10.39
2023-11-09 02:42:39,248,2188,2436,10.18
2023-11-09 02:52:08,238,2198,2436,9.77
2023-11-09 03:01:40,231,2205,2436,9.48
2023-11-09 03:11:11,235,2201,2436,9.65
2023-11-09 03:20:38,248,2188,2436,10.18
2023-11-09 03:30:12,224,2212,2436,9.2
2023-11-09 03:39:44,231,2205,2436,9.48
2023-11-09 03:49:12,238,2198,2436,9.77
2023-11-09 03:58:44,234,2202,2436,9.61
2023-11-09 04:08:12,250,2186,2436,10.26
2023-11-09 04:17:40,250,2186,2436,10.26
2023-11-09 04:27:09,238,2198,2436,9.77
2023-11-09 04:36:40,235,2201,2436,9.65
2023-11-09 04:46:12,230,2206,2436,9.44
2023-11-09 04:55:44,235,2201,2436,9.65
2023-11-09 05:05:11,251,2185,2436,10.3
2023-11-09 05:14:39,253,2183,2436,10.39
2023-11-09 05:24:10,231,2205,2436,9.48
2023-11-09 05:33:39,237,2199,2436,9.73
2023-11-09 05:43:07,242,2194,2436,9.93
2023-11-09 05:52:39,231,2205,2436,9.48
2023-11-09 05:53:48,231,2205,2436,9.48
2023-11-09 06:01:33,256,2180,2436,10.51
2023-11-09 06:11:02,254,2182,2436,10.43
2023-11-09 06:20:32,237,2199,2436,9.73
2023-11-09 06:30:04,232,2204,2436,9.52
2023-11-09 06:39:33,239,2197,2436,9.81
2023-11-09 06:49:04,232,2204,2436,9.52
2023-11-09 06:58:34,240,2196,2436,9.85
2023-11-09 07:08:03,250,2186,2436,10.26
2023-11-09 07:17:32,239,2197,2436,9.81
2023-11-09 07:27:01,238,2198,2436,9.77
2023-11-09 07:36:31,240,2196,2436,9.85
2023-11-09 07:46:02,234,2202,2436,9.61
2023-11-09 07:55:34,235,2201,2436,9.65
2023-11-09 08:05:04,238,2198,2436,9.77
2023-11-09 08:14:33,247,2189,2436,10.14
2023-11-09 08:24:04,231,2205,2436,9.48
2023-11-09 08:33:36,233,2203,2436,9.56
2023-11-09 08:43:08,233,2203,2436,9.56
2023-11-09 08:52:39,232,2204,2436,9.52
2023-11-09 09:02:10,233,2203,2436,9.56
2023-11-09 09:11:43,251,2185,2436,10.3
2023-11-09 09:21:11,255,2181,2436,10.47
2023-11-09 09:30:41,236,2200,2436,9.69
2023-11-09 09:40:14,234,2202,2436,9.61
2023-11-09 09:49:45,236,2200,2436,9.69
2023-11-09 09:59:16,234,2202,2436,9.61
2023-11-09 10:08:42,257,2179,2436,10.55
2023-11-09 10:18:11,250,2186,2436,10.26
2023-11-09 10:27:44,235,2201,2436,9.65
2023-11-09 10:37:17,235,2201,2436,9.65
2023-11-09 10:46:50,233,2203,2436,9.56
2023-11-09 10:56:22,232,2204,2436,9.52
2023-11-09 11:05:56,252,2184,2436,10.34
2023-11-09 11:15:24,257,2179,2436,10.55
2023-11-09 11:24:57,233,2203,2436,9.56
